0 0 0 0 0
1 1 0 0 0
2 1 0 0 0
3 2 0 0 0
4 3 0 0 0
5 5 0 0 0
6 8 0 0 0
7 13 0 0 0
8 21 0 0 0
9 34 0 0 0
10 55 0 0 0
11 89 0 0 0
12 144 0 0 0
13 233 0 0 0
14 377 0 0 0
15 610 0 0 0
16 987 0 0 0
17 1597 0 0 0
18 2584 0 0 0
19 4181 0 0 0
20 6765 0.001 0 0
21 10946 0 0 0
22 17711 0 0 0
23 28657 0 0 0
24 46368 0.001 0 0
25 75025 0 0 0
26 121393 0.001 0 0
27 196418 0.002 0 0
28 317811 0.003 0 0
29 514229 0.004 0 0
30 832040 0.007 0 0
31 1346269 0.01 0 0
32 2178309 0.017 0 0
33 3524578 0.031 0 0
34 5702887 0.048 0 0
35 9227465 0.079 0 0
36 14930352 0.124 0 0
37 24157817 0.218 0 0
38 39088169 0.354 0 0
39 63245986 0.598 0 0
40 102334155 0.878 0 0
41 165580141 1.414 0 0
42 267914296 2.465 0 0
